RoadID,RoadName,CountyID,TownName,RoadClass,RoadClassName,Version,UpdateDate
600117A,北投路二段,A,北投區,6,市區一般道路,23.05.1,2018-09-28
600118A,南京東路一段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600119A,南京東路二段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600120A,南京東路三段,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600121A,南京東路四段,A,松山區,6,市區一般道路,23.05.1,2018-09-28
600122A,南京東路五段,A,松山區,6,市區一般道路,23.05.1,2018-09-28
600123A,南京東路六段,A,內湖區,6,市區一般道路,23.05.1,2018-09-28
600124A,南京西路,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600126A,南寧路,A,萬華區,6,市區一般道路,23.05.1,2018-09-28
600127A,南昌路一段,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600128A,南昌路二段,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600129A,南海路,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600130A,南深路,A,南港區,6,市區一般道路,23.05.1,2018-09-28
600131A,南港聯絡道,A,南港區,6,市區一般道路,23.05.1,2018-09-28
600132A,南港路一段,A,南港區,6,市區一般道路,23.05.1,2018-09-28
600133A,南港路二段,A,南港區,6,市區一般道路,23.05.1,2018-09-28
600134A,南港路三段,A,南港區,6,市區一般道路,23.05.1,2018-09-28
600136A,博愛路,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600137A,台北大橋引道,A,大同區,6,市區一般道路,23.05.1,2018-09-28
600141A,吉林路,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600142A,吉祥路,A,松山區,6,市區一般道路,23.05.1,2018-09-28
600145A,同德路,A,南港區,6,市區一般道路,23.05.1,2018-09-28
600146A,向陽南港圓環,A,南港區,6,市區一般道路,23.05.1,2018-09-28
600147A,向陽路,A,內湖區,6,市區一般道路,23.05.1,2018-09-28
600148A,吳興街,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600149A,和平東路一段,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600150A,和平東路二段,A,大安區,6,市區一般道路,23.05.1,2018-09-28
600151A,和平東路三段,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600152A,和平東路四段,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600153A,和平西路一段,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600154A,和平西路二段,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600155A,和平西路三段,A,萬華區,6,市區一般道路,23.05.1,2018-09-28
600156A,和平路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600157A,和興路,A,文山區,6,市區一般道路,23.05.1,2018-09-28
600161A,四平街,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600162A,四維路,A,大安區,6,市區一般道路,23.05.1,2018-09-28
600165A,國興路,A,萬華區,6,市區一般道路,23.05.1,2018-09-28
600167A,基河路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600168A,基湖路,A,中山區,6,市區一般道路,23.05.1,2018-09-28
600169A,基隆和平東圓環,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600170A,基隆路一段,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600171A,基隆路二段,A,信義區,6,市區一般道路,23.05.1,2018-09-28
600172A,基隆路三段,A,大安區,6,市區一般道路,23.05.1,2018-09-28
600173A,基隆路四段,A,中正區,6,市區一般道路,23.05.1,2018-09-28
600175A,堤頂大道一段,A,內湖區,6,市區一般道路,23.05.1,2018-09-28
600177A,塔城街,A,大同區,6,市區一般道路,23.05.1,2018-09-28
600178A,塔悠路,A,松山區,6,市區一般道路,23.05.1,2018-09-28
600179A,士商路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600180A,士東路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600181A,大亨路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600183A,大北路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600184A,大南路,A,士林區,6,市區一般道路,23.05.1,2018-09-28
600188A,大安路一段,A,大安區,6,市區一般道路,23.05.1,2018-09-28
